NIT;AÑO;K DE W / VENTAS;CAPITAL DE TRABAJO;RAZON CORRIENTE;PRUEBA ACIDA;DIAS INVENTARIO;DIAS CARTERA;DIAS PROVEEDORES;ENDEUDAMIENTO TOTAL;ENDEUDAMIENTO FINANCIERO;MARGEN BRUTO;MARGEN OPERACIONAL;MARGEN NETO
860500805;2018;-4;-1598563.0;0.5;0.2;77;52;169;68.9;44.5;27.0;13.0;13.0
860501575;2020;24;5071291.0;1.6;1.2;47;75;31;60.8;47.4;17.9;14.1;17.2
860501575;2019;60;6245593.0;1.5;0.8;197;179;149;70.8;48.1;21.7;14.8;17.7
860501575;2018;56;3754048.0;1.3;0.7;181;154;117;58.9;48.8;21.8;13.8;16.0
860518811;2020;13;16589597.0;2.0;1.4;62;83;104;66.2;34.5;19.9;17.8;20.7
860518811;2019;16;17889284.0;2.7;2.1;38;68;48;61.0;54.2;19.4;15.9;16.6
860518811;2018;26;26535971.0;2.9;1.6;78;71;48;65.6;58.7;19.9;7.7;7.7
860522056;2020;35;58214446.0;1.7;0.9;133;82;76;49.0;53.0;21.7;5.9;-2.1
860522056;2019;28;53869391.0;1.3;0.6;122;80;96;58.1;50.2;20.4;-1.7;-5.9
860522056;2018;28;59766802.0;1.1;0.6;137;118;161;62.7;44.2;23.1;7.9;6.1
890101676;2020;34;52000841.0;1.9;1.0;133;85;74;43.1;62.8;33.2;24.3;21.6
890101676;2019;30;44360465.0;1.9;0.9;138;75;90;46.9;52.1;28.8;24.6;26.6
890101676;2018;27;35512496.0;1.8;1.1;112;82;89;45.8;42.3;28.9;8.5;10.1
890209207;2020;34;8808696.0;1.3;0.6;160;42;48;46.1;8.9;28.3;13.1;17.6
890209207;2019;26;7896363.0;1.3;0.9;77;64;35;46.5;12.2;26.9;10.8;13.9
890209207;2018;29;5179002.0;1.4;0.7;113;72;66;35.0;28.8;25.1;7.0;7.3
890300466;2020;21;354345269.0;2.0;1.3;96;74;92;52.1;45.2;36.9;8.4;10.2
890300466;2019;20;311617187.0;2.1;1.5;79;90;106;61.7;48.6;37.3;3.8;3.6
890300466;2018;15;205993186.0;1.4;0.9;92;76;129;68.3;45.7;37.3;4.8;1.7
890300484;2020;21;10108309.0;1.5;0.9;94;95;115;57.1;21.9;18.6;13.4;11.9
890300484;2019;4;2552717.0;1.1;0.5;109;60;162;71.6;12.4;18.1;17.2;16.0
890301690;2020;10;87776319.0;1.5;1.1;62;78;117;44.9;0.6;27.6;19.2;21.5
890301690;2019;13;112350672.0;1.6;1.1;56;78;94;42.6;0.1;27.5;18.7;21.3
890301690;2018;15;120011332.0;1.6;1.1;55;79;85;40.0;0.0;27.6;11.1;14.4
890304607;2020;16;7544817.0;1.2;0.8;74;46;54;46.5;49.4;28.4;24.1;23.2
890304607;2019;10;4673792.0;1.1;0.8;54;47;67;45.3;39.0;27.1;22.6;21.8
890304607;2018;6;2620705.0;1.0;0.6;78;50;117;50.5;26.8;26.5;24.9;21.6
890310171;2020;18;9554185.0;1.3;0.8;68;86;94;63.6;32.1;17.2;12.0;12.5
890310171;2019;20;11033385.0;1.2;0.8;69;94;94;69.1;41.5;18.2;13.9;15.2
890310171;2018;23;9432597.0;1.3;0.9;63;110;95;68.6;44.1;17.0;11.5;13.0
890406589;2020;35;4961094.0;0.9;0.4;180;35;73;55.8;41.5;14.7;2.0;-3.5
890406589;2019;10;3292407.0;1.2;0.6;74;28;60;44.5;13.7;25.4;16.8;16.2
890406589;2018;-3;-2078550.0;1.0;0.8;58;40;136;67.1;5.4;29.7;8.1;12.9
890503314;2020;6;11018484.0;1.9;1.5;75;57;131;41.4;33.4;42.0;36.3;35.0
890503314;2019;15;22733492.0;1.6;1.0;117;72;141;42.6;33.0;37.8;32.0;31.8
890503314;2018;16;23356657.0;1.8;1.2;97;74;123;36.0;31.3;38.7;31.1;30.6
890800148;2020;20;58448706.0;1.9;1.0;103;62;90;32.3;2.4;22.0;12.2;13.6
890800148;2019;18;61038559.0;2.0;1.1;83;59;74;31.4;2.3;20.8;14.3;16.1
890800148;2018;18;36628866.0;1.9;1.1;85;68;84;33.8;0.2;24.6;7.8;11.2
890805453;2020;17;17514588.0;3.1;2.2;64;42;37;25.4;0.2;30.5;27.5;33.0
890805453;2019;20;21707939.0;3.7;2.4;61;55;36;22.9;0.3;27.2;23.5;26.8
890805453;2018;25;23282773.0;2.5;1.4;94;64;54;31.5;0.2;31.2;16.7;23.7
890900082;2020;0;1952400.0;1.4;0.8;105;35;152;64.9;40.2;30.6;24.5;19.1
890900082;2019;8;17187618.0;1.2;0.6;128;48;155;68.6;44.3;31.7;24.2;21.4
890900082;2018;2;4750754.0;1.7;0.8;122;52;188;64.6;37.0;34.4;30.2;27.3
